1001;Хлеб;220;06.03.2026;4
1002;Хлеб;450;03.12.2025;3
1003;Сыр;20;04.12.2025;60
1004;Колбаса;110;05.12.2025;20
1005;Молоко;800;08.12.2025;7
1006;Хлеб;12;09.12.2025;3
1007;Сыр;340;11.12.2025;60
1008;Колбаса;55;12.12.2025;20
1009;Молоко;45;15.12.2025;7
1010;Хлеб;890;16.12.2025;3
1011;Сыр;150;18.12.2025;60
1012;Колбаса;5;20.12.2025;20
1013;Молоко;600;22.12.2025;7
1014;Хлеб;30;23.12.2025;3
1015;Сыр;210;24.12.2025;60
1016;Колбаса;400;26.12.2025;20
1017;Молоко;25;27.12.2025;7
1018;Хлеб;750;28.12.2025;3
1019;Сыр;85;30.12.2025;60
1020;Колбаса;620;02.01.2026;20
1021;Молоко;110;04.01.2026;7
1022;Хлеб;50;05.01.2026;3
1023;Сыр;900;06.01.2026;60
1024;Колбаса;15;08.01.2026;20
1025;Молоко;330;10.01.2026;7
1026;Хлеб;420;12.01.2026;3
1027;Сыр;60;14.01.2026;60
1028;Колбаса;280;15.01.2026;20
1029;Молоко;710;16.01.2026;7
1030;Хлеб;90;18.01.2026;3
1031;Сыр;440;19.01.2026;60
1032;Колбаса;35;21.01.2026;20
1033;Молоко;180;22.01.2026;7
1034;Хлеб;670;23.01.2026;3
1035;Сыр;10;25.01.2026;60
1036;Колбаса;530;27.01.2026;20
1037;Молоко;850;28.01.2026;7
1038;Хлеб;25;30.01.2026;3
1039;Сыр;310;31.01.2026;60
1040;Колбаса;140;02.02.2026;20
1041;Молоко;55;03.02.2026;7
1042;Хлеб;490;04.02.2026;3
1043;Сыр;760;06.02.2026;60
1044;Колбаса;80;07.02.2026;20
1045;Молоко;240;09.02.2026;7
1046;Хлеб;110;10.02.2026;3
1047;Сыр;25;12.02.2026;60
1048;Колбаса;680;14.02.2026;20
1049;Молоко;910;15.02.2026;7
1050;Хлеб;40;16.02.2026;3
1051;Сыр;520;18.02.2026;60
1052;Колбаса;190;19.02.2026;20
1053;Молоко;75;21.02.2026;7
1054;Хлеб;330;22.02.2026;3
1055;Сыр;840;24.02.2026;60
1056;Колбаса;15;25.02.2026;20
1057;Молоко;460;27.02.2026;7
1058;Хлеб;85;28.02.2026;3
1059;Сыр;160;01.03.2026;60
1060;Колбаса;750;02.03.2026;20
1061;Молоко;30;03.03.2026;7
1062;Хлеб;590;04.03.2026;3
1063;Сыр;380;05.03.2026;60
1064;Колбаса;110;06.03.2026;20
1065;Молоко;820;07.03.2026;7
1066;Хлеб;50;08.03.2026;3
1067;Сыр;670;08.03.2026;60
1068;Колбаса;220;09.03.2026;20
1069;Молоко;140;09.03.2026;7
1070;Хлеб;710;10.03.2026;3
1071;Сыр;45;10.03.2026;60
1072;Колбаса;480;11.03.2026;20
1073;Молоко;950;11.03.2026;7
1074;Хлеб;15;11.03.2026;3
1075;Сыр;290;12.03.2026;60
1076;Колбаса;860;12.03.2026;20
1077;Молоко;65;12.03.2026;7
1078;Хлеб;380;12.03.2026;3
1079;Сыр;550;13.03.2026;60
1080;Колбаса;70;13.03.2026;20
1081;Молоко;310;13.03.2026;7
1082;Хлеб;820;13.03.2026;3
1083;Сыр;120;14.03.2026;60
1084;Колбаса;640;14.03.2026;20
1085;Молоко;25;14.03.2026;7
1086;Хлеб;460;14.03.2026;3
1087;Сыр;730;14.03.2026;60
1088;Колбаса;180;14.03.2026;20
