1001;Молоко;50;01.01.2026;7
1002;Хлеб;150;02.01.2026;3
1003;Сыр;35;03.01.2026;60
1004;Кефир;40;04.01.2026;5
1005;Творог;25;05.01.2026;5
1006;Масло;15;06.01.2026;30
1007;Колбаса;20;07.01.2026;20
1008;Рис;100;08.01.2026;365
1009;Макароны;80;09.01.2026;730
1010;Йогурт;60;10.01.2026;14
1011;Молоко;55;11.01.2026;7
1012;Хлеб;140;12.01.2026;3
1013;Сыр;40;13.01.2026;60
1014;Кефир;45;14.01.2026;5
1015;Творог;30;15.01.2026;5
1016;Масло;18;16.01.2026;30
1017;Колбаса;25;17.01.2026;20
1018;Рис;110;18.01.2026;365
1019;Макароны;90;19.01.2026;730
1020;Йогурт;65;20.01.2026;14
1021;Молоко;60;21.01.2026;7
1022;Хлеб;160;22.01.2026;3
1023;Сыр;30;23.01.2026;60
1024;Кефир;35;24.01.2026;5
1025;Творог;20;25.01.2026;5
1026;Масло;22;26.01.2026;30
1027;Колбаса;30;27.01.2026;20
1028;Рис;95;28.01.2026;365
1029;Макароны;85;29.01.2026;730
1030;Йогурт;50;30.01.2026;14
1031;Молоко;45;01.02.2026;7
1032;Хлеб;130;02.02.2026;3
1033;Сыр;45;03.02.2026;60
1034;Кефир;50;04.02.2026;5
1035;Творог;35;05.02.2026;5
1036;Масло;20;06.02.2026;30
1037;Колбаса;28;07.02.2026;20
1038;Рис;105;08.02.2026;365
1039;Макароны;95;09.02.2026;730
1040;Йогурт;70;10.02.2026;14
1041;Молоко;70;11.02.2026;7
1042;Хлеб;170;12.02.2026;3
1043;Сыр;50;13.02.2026;60
1044;Кефир;55;14.02.2026;5
1045;Творог;40;15.02.2026;5
1046;Масло;25;16.02.2026;30
1047;Колбаса;35;17.02.2026;20
1048;Рис;120;18.02.2026;365
1049;Макароны;100;19.02.2026;730
1050;Йогурт;75;20.02.2026;14
1051;Молоко;80;21.02.2026;7
1052;Хлеб;180;22.02.2026;3
1053;Сыр;55;23.02.2026;60
1054;Кефир;60;24.02.2026;5
1055;Творог;45;25.02.2026;5
1056;Масло;30;26.02.2026;30
1057;Колбаса;40;27.02.2026;20
1058;Рис;130;28.02.2026;365
1059;Макароны;110;01.03.2026;730
1060;Йогурт;80;02.03.2026;14
1061;Молоко;90;03.03.2026;7
1062;Хлеб;190;04.03.2026;3
1063;Сыр;60;05.03.2026;60
1064;Кефир;65;06.03.2026;5
1065;Творог;50;07.03.2026;5
1066;Масло;35;08.03.2026;30
1067;Колбаса;45;09.03.2026;20
1068;Рис;140;10.03.2026;365
1069;Макароны;120;11.03.2026;730
1070;Йогурт;85;12.03.2026;14
1071;Молоко;100;13.03.2026;7
1072;Хлеб;200;14.03.2026;3
1073;Сыр;65;15.03.2026;60
1074;Кефир;70;16.03.2026;5
1075;Творог;55;17.03.2026;5
1076;Масло;40;18.03.2026;30
1077;Колбаса;50;19.03.2026;20
1078;Рис;150;20.03.2026;365
1079;Макароны;130;21.03.2026;730
1080;Йогурт;90;22.03.2026;14
1081;Молоко;110;23.03.2026;7
1082;Хлеб;210;24.03.2026;3
1083;Сыр;70;25.03.2026;60
1084;Кефир;75;26.03.2026;5
1085;Творог;60;27.03.2026;5
1086;Масло;45;28.03.2026;30
1087;Колбаса;55;29.03.2026;20
1088;Рис;160;30.03.2026;365
1089;Макароны;140;31.03.2026;730
1090;Йогурт;95;01.04.2026;14
1091;Молоко;120;02.04.2026;7
1092;Хлеб;220;03.04.2026;3
1093;Сыр;75;04.04.2026;60
1094;Кефир;80;05.04.2026;5
1095;Творог;65;06.04.2026;5
1096;Масло;50;07.04.2026;30
1097;Колбаса;60;08.04.2026;20
1098;Рис;170;09.04.2026;365
1099;Макароны;150;10.04.2026;730
1100;Йогурт;100;11.04.2026;14
